Compound,Character,OSHAPEL
4-ethyl-6-hepten-3-one,fish,
(E)-p-mentha-2.8-dien-1-ol,herb mint,
pinenol,must dust,
perillen,wood,
menthone,herb herb,
octenhydroperoxide,metal mushroom,
2-acetyl-3.4.5.6-tetrahydropyridine,caramel,
(E)-rose oxide,aromatic,
γ-heptalactone,nut solvent fruit,
nerol oxide,solvent aromatic,
limonene oxide,fruit,
ethyl cyclohexanoate,fruit,
methyl cyclohexanecarboxylate,fruit ester,
4-mercapto-4-methyl-2-pentanol,aromatic fruit,
benzyl alcohol,sweet aromatic,
(Z)-limonene oxide,herb citrus,
3-terpinen-1-ol,must,
2-nonenal,orris solvent cucumber,
(E)-limonene oxide,herb citrus,
(+)-(E)-limonene oxide,herb,
camphor,camphor,
fenchyl alcohol,camphor,
ethyl-4-hydroxymethyl- 3(2H)-Furanone,caramel,
pentyl methylbutyrate,fruit,
α-fenchyl alcohol,camphor,
α-fenchyl alcohol,camphor,
menthone,mint,
β-terpineol,must,
methylcyclopentapyrazine,roast,
p-2-menthen-1-ol,herb,
(E)-2-nonenal,cucumber solvent herb,
3-(acetylthio)-2-methylfuran,roasted meat,
octyl acetate,fruit,
sesquiphellandrene,sweet fruit herb,
citronellal,solvent,
2-nonenal,paper,
nonanol,solvent herb,
2.6-nonadienal,cucumber wax herb,
acetylmethylcyclohexene,spice,
homofuraneol,caramel,
diethylmethylpyrazine,baked,
4-pentenyl isothiocyanate,mustard horseradish,
benzyl acetate,herb vegetable,
diethylmethyl pyrazine,potato meat roast,
methyldithiofurane,thiamin meat,
methyl-(methyldithio)furan,cooked meat thiamin,
diethyl succinate,alcohol fruit,
2.6-nonadienol,cucumber,
nonadienol,cucumber,
cis-isocitral,herb,
camphene hydrate,camphor,
pinocarveol,aromatic,
ethylphenol,must,
l-menthol,peppermint,
ethylbenzaldehyde,sweet,
isoborneol,must camphor,
butylmethoxypyrazine,carrot earth,
phenylethylthiol,rubber,
(epoxymethylbutyl)-methylfuran,herb earth citrus,
(Z)-3-hexenyl butanoate,alcohol herb,
ethenyl-ethylmethylpyrazine,earth,
S-(2-furfuryl)-ethanethioate,roast,
epoxy-2-octenal,metal,
methylisoborneol,earth must,
dimethyloctadienal,herb,
hexyl butanoate,fruit peel,
ethyl benzoate,camomile aromatic celery fruit,
lavandulol,herb,
dill ether,dill,
2-nonanol,cucumber,
(Z)-3-hexenyl-2-methylbutanoate,herb sweet,
4-acetyltoluene,bitter almond,
pentylpyridine,solvent,
isobutylmethoxypyrazine,earth spice herb pepper,
butyl hexanoate,fruit,
o-cresol,solvent,
abhexone,spice,
nitro-phenylethane,aromatic spice,
dihydrocarveol,mint spice,
(Z)-dihydrocarvone,herb warm,
(E.Z)-2.4-nonadienal,geranium spice,
carveol,herb sfruitmint caraway,
borneol,camphor,
ethyl octanoate,fruit solvent,
1-terpinen-4-ol,turpentine nutmeg must,
neoisomenthol,menthol,
(Z)-4-decenal,herb must,
2.4-nonadienal,watermelon,
estragole,licorice anise,
ethyl octenoate,must solvent fruit spice,
(E)-dihydrocarvone,warm herb,
6-decenal,tallow herb,
decanal,soap fruit peel tallow,
6-decenal,cucumber,
dimethyl tetrasulfide,cabbage sulfur,
linalool oxide,aromatic wood,
isodihydrocarveol,wood spice,
naphthalene,tar,
isobutyric acid,rancid butter cheese,
dodecane,alkane,
2.4-nonadienal,solvent wax herb,
p-cymenol,citrus must,
(E)-carveol,caraway solvent,
(Z)-piperitol,herb,
linalyl formate,citrus coriander,
methyl nonanoate,fruit,
(-)-carvone,mint,
diethyl malonate,fruit,
syntexan,garlic,
furfurylmethyldisulphide,smoke,
(Z)-carveol,caraway,
myrtenal,spice,
piperitol,herb,
methyl salicylate,peppermint,
epoxy-p-menthene,mint dill,
γ-octalactone,fruit,
hexyl methylbutyrate,fruit,
benzothiazole,solvent rubber,
phenyl cyanide,rancid,
3-mercaptohexyl-acetate,box tree,
piperitone,mint herb,
isobornyl formate,herb earth camphor,
citronellol,rose,
dihydromethylcyclopentapyrazine,roast nut,
neral,fruit,
chavicol,medicine solvent,
β-cyclocitral,mint,
2-decenal,tallow,
2-decenal,fruit,
β-phenethyl acetate,rose honey tobacco,
2-decenal,tallow,
nerol,sweet,
(R)-linden ether,mint,
ethyl phenylacetate,fruit sweet,
hydrocinnamic alcohol,cinnamon anise fruit,
methylnonanedione,straw fruit,
DL-carvone,mint basil fennel,
phenylacetic acid,honey aromatic,
citral,fruit,
isogeraniol,rose,
(+)-carvone,caraway,
bornyl formate,herb,
p-anisyl alcohol,aromatic,
sulfurol,sulfur,
cumin aldehyde,acid irritating,
